stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
aEhaaulL,aEhaaulL,HINDUSTAN COLLEGE,12.80138,80.22353,0
syNMMSsu,syNMMSsu,PADUR,12.8055,80.22407,0
nermFKBU,nermFKBU,PADUR AKSHAYA,12.811,80.22798,0
eHBdrFbQ,eHBdrFbQ,KAZHIPATTUR,12.81964,80.23043,0
AQHsowCO,AQHsowCO,VANIYANCHAVADI PADMA ADARSH SCHOOL,12.82635,80.2313,0
oLzlCKof,oLzlCKof,NAVALUR CHURCH,12.83316,80.22878,0
sxnLITXs,sxnLITXs,EGATTUR,12.83721,80.22812,0
QxkHLGuk,QxkHLGuk,NAVALUR,12.84472,80.22647,0
MlXQVZuf,MlXQVZuf,NAVALUR AGS COMPLEX,12.8504,80.22646,0
VHmQaoRO,VHmQaoRO,SEMMANCHERI,12.86166,80.22641,0
kbNsckqG,kbNsckqG,SATYABHAMA UNIVERSITY,12.87105,80.22644,0
qQJgvOFz,qQJgvOFz,SHOLINGANALLUR KUMARAN NAGAR,12.87765,80.22672,0
oRUBDfuD,oRUBDfuD,SHOLINGANALLUR PONNIAMMAN TEMPLE,12.88606,80.22673,0
QbrsudyQ,QbrsudyQ,OODAI,12.88836,80.22718,0
nunLDRbE,nunLDRbE,GOVERNMENT SCHOOL SHOLINGANALLUR,12.89455,80.22743,0
ddf9b7895d25353b687b012d51771836,ddf9b7895d25353b687b012d51771836,P U OFFICE SHOLINGANALLUR,12.90205,80.22794,0
aZtqChJJ,aZtqChJJ,SHOLINGANALLUR ACCENTURE,12.90748,80.22819,0
ttVqQknl,ttVqQknl,KARAPAKKAM,12.91349,80.22904,0
ryJVAbFB,ryJVAbFB,KARAPAKKAM KCG COLLEGE,12.91976,80.22998,0
vnfcOAch,vnfcOAch,OKKIYAMPET,12.92577,80.23075,0
pjRBTtLk,pjRBTtLk,PTC QUARTERS OR MOOTAKARAN CHAVADI,12.93299,80.23225,0
ZKEtlMvK,ZKEtlMvK,METTUKUPPAM,12.93913,80.23522,0
kohCEyKT,kohCEyKT,D B JAIN COLLEGE,12.94658,80.23957,0
FaHpkwNs,FaHpkwNs,SEEVARAM,12.95104,80.24124,0
DpeufCiu,DpeufCiu,PERUNGUDI,12.95883,80.2443,0
SGVPbDEb,SGVPbDEb,KANDANCHAVADI,12.9669,80.2479,0
MtINPaKl,MtINPaKl,PERUNGUDI  I G P,12.97429,80.25039,0
RuAJZyMI,RuAJZyMI,PERUNGUDI S.R.P TOOLS,12.97854,80.25226,0
WRVBvtIE,WRVBvtIE,TIDEL PARK,12.98804,80.25237,0
cNypyxpr,cNypyxpr,JAYANTHI THEATRE,12.98872,80.25579,0
cTQVugNT,cTQVugNT,ADYAR DEPOT,12.99875,80.25603,0
f166c5c0ee6d7f8d330953579f23b488,f166c5c0ee6d7f8d330953579f23b488,ADYAR SIGNAL,13.00723,80.25838,0
IgEBJNwX,IgEBJNwX,SATHYA STUDIO,13.01621,80.25955,0
gpaAUChy,gpaAUChy,ANNAMALAIPURAM MUSIC COLLEGE,13.01908,80.26296,0
NuyYqrDq,NuyYqrDq,RAJA ANNAMALAI PURAM MRC NAGAR,13.02142,80.27043,0
BaKUDeNn,BaKUDeNn,FORESHORE ESTATE,13.02533,80.27491,0
yyqygEVd,yyqygEVd,EMPLOYMENT OFFICE,13.03123,80.27748,0
rZoajhYh,rZoajhYh,SANTHOME CHURCH,13.03277,80.27738,0
taEXnGBL,taEXnGBL,ALL INDIA RADIO LIGHT HOUSE,13.03906,80.27859,0
yQIotbyH,yQIotbyH,TRIPLICANE QUEEN MARYS COLLEGE,13.04556,80.28012,0
MEVzYGii,MEVzYGii,VIVEKANANDA HOUSE BUS TERMINUS,13.05099,80.28076,0
xnBCUPNx,xnBCUPNx,KANNAGI STATUE OR PRESIDENCY COLLEGE,13.0564,80.28183,0
FTwVCxQy,FTwVCxQy,EZHILAGAM,13.06139,80.28286,0
efca575d3b64c91c3ab7f775f238c450,efca575d3b64c91c3ab7f775f238c450,MADRAS UNIVERSITY,13.06544,80.28375,0
KplKuAnp,KplKuAnp,WAR MEMORIAL,13.07313,80.28536,0
iYMJvRAf,iYMJvRAf,SECRETARIAT,13.08073,80.28831,0
hysxdiTF,hysxdiTF,R B I PARRYS,13.08243,80.28893,0
tjYcJLRB,tjYcJLRB,PARRYS CORNER,13.08873,80.29001,0
lbFoZTYJ,lbFoZTYJ,SIRUSERI SIPCOT,12.83086,80.22957,0
kfLroVYr,kfLroVYr,SIRUSERI TCS GATE 1,12.83074,80.21951,0
gkOkOAAS,gkOkOAAS,SIRUSERI I.T.PARK,12.82478,80.21604,0
NpSoTTfQ,NpSoTTfQ,SIRUSERI I.T.PARK,12.82467,80.21604,0
bgTLoaOR,bgTLoaOR,SIRUSERI SIPCOT INDUSTRIAL PARK,12.82592,80.21918,0
VgPUesLZ,VgPUesLZ,SIRUSERI TCS GATE 1,12.83072,80.21941,0
pSVDMeCH,pSVDMeCH,MADRAS UNIVERSITY,13.06546,80.28364,0
102,102,M.G.R.CENTRAL,12.549663,80.143925,0
22,22,BROADWAY,12.549663,80.143925,0
164,164,SECRETARIAT,12.549663,80.143925,0
27,27,CHEPAUK,12.549663,80.143925,0
153,153,QUEEN MARRY'S ARTS COLLEGE,12.549663,80.143925,0
53,53,FORESHORE ESTATE,12.549663,80.143925,0
2,2,A.M.S.HOSPITAL,12.549663,80.143925,0
7,7,ADYAR SIGNAL (MALAR HOSPITAL),12.549663,80.143925,0
ba3665777c3da30d9ddd91dfa7412055,ba3665777c3da30d9ddd91dfa7412055,PARRYS CORNER,13.08885,80.29003,0
f668cebebd5ec7018c42b8d20f63e782,f668cebebd5ec7018c42b8d20f63e782,ALL INDIA RADIO LIGHT HOUSE,13.03938,80.27921,0
172bacebb7dba857432588d1cb692048,172bacebb7dba857432588d1cb692048,SHOLINGANALLUR KUMARAN NAGAR,12.87651,80.22666,0
OaJoPLeC,OaJoPLeC,SHOLINGANALLUR NUCLUEUS COMPANY,12.87785,80.2193,0
UHrXpouo,UHrXpouo,SEMMANCHERI ARCH,12.87948,80.21096,0
DFiOxLfP,DFiOxLfP,SEMMANCHERI BUS STAND,12.87452,80.2101,0
zvByLoIK,zvByLoIK,SEMMANCHERI ARCH,12.87956,80.21098,0
qVPPKIYf,qVPPKIYf,SHOLINGANALLUR NUCLUEUS COMPANY,12.87782,80.21971,0
195,195,TIDEL PARK,12.549663,80.143925,0
131,131,NUCLEUS COMPANY,12.549663,80.143925,0
167,167,SEMMANCHERI TNUHDB,12.549663,80.143925,0
193,193,THORAIPAKKAM P.T.C COLONY,12.549663,80.143925,0
51,51,EZHIL NAGAR,12.549663,80.143925,0
lsFGVtlq,lsFGVtlq,ADYAR B.T,13.00658,80.25321,0
uCftfjda,uCftfjda,THORAIPAKKAM PTC QUARTERS SIVAN TEMPLE,12.93341,80.23622,0
jGceibqP,jGceibqP,KANNAGI NAGAR FISH MARKET,12.92857,80.23887,0
aBQaRmrC,aBQaRmrC,KANNAGI NAGAR POLICE STATION,12.93136,80.23856,0
nNuUCqPb,nNuUCqPb,KANNAGI NAGAR B.T,12.92546,80.2381,0
cRXLwRHY,cRXLwRHY,KANNAGI NAGAR FISH MARKET,12.92817,80.23876,0
aSxVTIYY,aSxVTIYY,PTC QUARTERS,12.93323,80.23619,0
3d4d32ede8b273f342ae9a7b6872723a,3d4d32ede8b273f342ae9a7b6872723a,INFOVIEW THORAIPAKKAM,12.94394,80.23754,0
514ba2432c22c194b6c28c0db9367c4a,514ba2432c22c194b6c28c0db9367c4a,D.B. JAIN COLLEGE,12.94656,80.23963,0
04946a30296c3a9b4bfabfa3aaad53b6,04946a30296c3a9b4bfabfa3aaad53b6,JAYANTHI THEATRE,12.98855,80.25589,0
897b580a8f171e0d7df0dc3e6e52d7bc,897b580a8f171e0d7df0dc3e6e52d7bc,FORESHORE ESTATE,13.0227,80.27643,0
5f3ce91f56beda648607db2744233280,5f3ce91f56beda648607db2744233280,SATHYA STUDIO,13.01603,80.25964,0
b649e17b604eaa2ad32c250b2c8b3829,b649e17b604eaa2ad32c250b2c8b3829,INFOVIEW THORAIPAKKAM,12.94366,80.23762,0
New155,New155,KANNAGI NAGAR EZHIL NAGAR,12.93157,80.23863,0
